TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:17.916290;249593382;-996.0;14.8;-32;13;55.55555555555555
2024-11-12 18:03:17.961369;249552959;-768.4;12.3;-18;11;55.55555555555555
2024-11-12 18:03:18.006307;249522167;-494.1;9.9;-6;9;55.55555555555555
2024-11-12 18:03:18.051544;249508204;-228.0;8.8;0;8;55.55555555555555
2024-11-12 18:03:18.096385;249504510;-25.3;7.9;1;8;55.55555555555555
2024-11-12 18:03:18.141347;249505313;36.5;7.7;5;8;55.55555555555555
2024-11-12 18:03:18.186305;249514046;243.2;7.7;8;8;55.55555555555555
2024-11-12 18:03:18.231347;249530755;388.5;7.9;13;9;55.55555555555555
2024-11-12 18:03:18.276490;249556172;623.8;9.2;25;11;55.55555555555555
2024-11-12 18:03:18.321342;249592297;828.7;11.5;33;13;55.55555555555555
2024-11-12 18:03:18.366663;249637834;901.9;13.7;42;16;55.55555555555555
2024-11-12 18:03:18.411617;249682170;944.7;16.5;50;19;55.55555555555555
2024-11-12 18:03:18.456297;249725986;901.9;19.0;53;20;55.55555555555555
2024-11-12 18:03:18.501442;249766930;852.9;19.6;54;20;55.55555555555555
2024-11-12 18:03:18.546252;249810201;787.0;19.6;42;20;55.55555555555555
2024-11-12 18:03:18.591369;249840217;560.3;19.6;29;20;55.55555555555555
2024-11-12 18:03:18.636242;249859435;297.1;19.4;9;18;55.55555555555555
2024-11-12 18:03:18.681485;249864970;0.7;18.3;-3;17;55.55555555555555
2024-11-12 18:03:18.726517;249857623;-267.2;17.2;-23;18;57.971014492753625
2024-11-12 18:03:18.771335;249831378;-682.4;18.5;-55;20;57.971014492753625
2024-11-12 18:03:18.816449;249780051;-1274.1;19.4;-82;20;57.971014492753625
2024-11-12 18:03:18.861566;249709660;-1527.8;19.4;-81;20;57.971014492753625
2024-11-12 18:03:18.906238;249633476;-1362.7;18.5;-54;16;57.971014492753625
2024-11-12 18:03:18.951454;249581402;-996.4;15.4;-29;13;57.971014492753625
2024-11-12 18:03:18.996265;249546643;-580.5;12.1;-9;10;57.971014492753625
2024-11-12 18:03:19.041345;249529263;-232.9;9.5;0;9;57.971014492753625
2024-11-12 18:03:19.086243;249526045;-14.2;8.8;1;9;57.971014492753625
2024-11-12 18:03:19.131605;249526152;3.0;8.6;2;9;57.971014492753625
2024-11-12 18:03:19.176411;249530315;164.8;8.8;9;9;57.971014492753625
2024-11-12 18:03:19.221348;249543422;348.3;9.0;14;10;57.971014492753625
2024-11-12 18:03:19.266267;249567588;532.9;10.1;23;12;57.971014492753625
2024-11-12 18:03:19.311365;249600290;760.2;12.3;35;14;57.971014492753625
2024-11-12 18:03:19.356270;249642054;937.6;14.6;49;16;57.971014492753625
2024-11-12 18:03:19.401497;249690588;1051.1;16.5;59;19;57.971014492753625
2024-11-12 18:03:19.446656;249744911;1039.0;18.8;59;20;57.971014492753625
2024-11-12 18:03:19.491336;249790469;915.0;19.4;51;20;57.971014492753625
2024-11-12 18:03:19.536258;249828029;701.5;19.6;38;20;57.971014492753625
2024-11-12 18:03:19.581315;249855888;499.8;19.6;25;19;57.971014492753625
2024-11-12 18:03:19.626657;249875390;299.1;17.4;11;16;57.971014492753625
2024-11-12 18:03:19.671467;249882863;90.5;15.0;2;15;57.971014492753625
2024-11-12 18:03:19.716397;249881721;-80.8;15.0;-9;15;60.60606060606061
2024-11-12 18:03:19.761486;249870019;-352.0;15.2;-27;17;60.60606060606061
2024-11-12 18:03:19.806198;249836520;-813.4;17.4;-57;20;60.60606060606061
2024-11-12 18:03:19.851649;249781983;-1216.9;19.6;-74;20;60.60606060606061
2024-11-12 18:03:19.896505;249718381;-1345.1;19.6;-67;20;60.60606060606061
